Order,ID,Filename, Event,Distance (m),Sensor Height     (m),Source Height     (m),a1 + bkgCH4 (ppm),bkgCH4 (ppm),Pressure (mbar),<u>,<v>,<w>,<t>,<u2>,<v2>,<w2>,<t2>,<uv>,<uw>,<ut>,<vw>,<vt>,<wt>,GPS Latitude,GPS Latitude StdDev,GPS Longitude,GPS Longitude StdDev,Mean    CO2     (ppm),Stdev    CO2     (ppm),5% N,High Methane (ppm),Avg. High 5% Methane (ppm),Stddev High 5% Methane (ppm),Low Methane (ppm),Avg. Low 5% Methane (ppm),Stddev Low 5% Methane (ppm),Mean Methane (ppm),Mean Methane - bkg (ppm),3DS 2D Wind Speed (m/s),Temp.       (K),Mean 2DWind (deg),Mean 3DWind (deg),Std WD 2D (deg),Std WD 3D (deg),Turbulent Intensity,WS 2D   PGI,WS 3D   PGI,StdDev. WD 2D    PGI,StdDev. WD 3D    PGI,Turbulent Intensity PGI,Weighted Avg.        PGI,Estimated     PGI,PG?y             (m),PG?z            (m),Centroid Dir (deg),Angle Bin Size     (deg),wind Speed Cut    (m/s),Accept Angle Limit         (+/- deg),Bin Density Cut         (%),a1         (ppm),?             (deg),CH4 a1      (g/m3 ),?y               (m),rsq,BinQA,Count QA,Temp QA,3Dtemp stdev QA,3Dtemp min QA,3Dtemp max QA,,Estimated ?z             (m),Approx Release Rate (g/s),PSG Emission Estimate          (g/s),Sig y Emission Estimate           (g/s),PSG % Error,3d xcord (m),3d ycord (m),Centroid xcord (m),Centroid ycord  (m),A1 bLs bkg,A1 bLs     (g/s),Wind Var DQI,,PSG-bLs combined Emission Estimate          (g/s)
1,4042011_1,4042011,1,40.45,2.69,3,3.13,1.74,995.7,0.55,-3.18,0.00,24.03,2.12,12.28,0.26,577.59,-1.93,0.10,13.13,0.18,-76.25,0.06,35.970,5.7E-07,-79.093,8.3E-07,384,1,481,35.42,8.96,5.34,1.73,1.74,0.001,2.27,0.53,3.45,298.4,232.1,170.1,21.04,20.37,0.148,4,4,3.0,3.0,4.0,3.5,4,6.85,3.87,145,10,0,60,2,1.396,10.32,8.99E-04,7.30,0.97,15,1594,1.004,0.4,23.2,25.5,,3.7,0.60,0.52,0.52,-14,6.9,39.9,23.2,33.1,,0.72,0.1,,0.62
2,4042011_3,4042011,3,59.83,2.69,3,2.72,1.76,995.9,-0.01,-2.42,-0.01,24.23,1.21,6.89,0.17,587.18,0.05,-0.03,-0.24,0.10,-58.46,-0.09,35.970,1.3E-06,-79.093,1.3E-06,386,2,598,21.28,5.77,2.30,1.76,1.76,0.001,2.15,0.39,2.65,298.8,215.9,180.2,23.38,25.24,0.154,3,3,3.0,2.0,4.0,3.5,4,9.77,5.55,185,10,0,60,2,0.962,12.28,6.18E-04,12.87,0.98,19,1672,1.005,0.4,23.5,26.5,,6.4,0.60,0.56,0.85,-7,-0.2,59.8,-5.2,59.6,,1.00,0.5,,0.78
3,4042011_5,4042011,5,35.18,2.69,3,4.25,1.76,994.3,-0.83,-2.44,-0.06,25.14,1.25,7.21,0.25,632.13,2.13,0.07,-20.79,0.26,-61.28,-1.55,35.970,7.6E-07,-79.093,1.2E-06,383,1,317,25.37,10.77,3.55,1.75,1.76,0.001,2.71,0.95,2.68,299.7,221.9,198.7,18.98,16.87,0.185,3,3,4.0,4.0,2.0,3.0,3,7.47,4.02,215,10,0,60,2,2.494,11.66,1.60E-03,7.19,0.96,22,1609,1.005,0.2,24.7,25.9,,3.6,0.60,0.81,0.69,35,-11.3,33.3,-20.2,28.8,,0.38,0.7,,0.59
4,4042011_6,4042011,6,97.44,2.69,3,1.96,1.75,994.1,0.00,-3.32,0.00,25.44,1.68,12.51,0.22,647.40,-0.10,0.07,0.11,0.11,-84.27,0.03,35.970,6.2E-07,-79.093,8.0E-07,383,1,623,5.74,2.79,0.46,1.75,1.75,0.001,1.88,0.12,3.55,300.0,217.4,179.9,17.81,21.08,0.133,4,4,4.0,3.0,4.0,4.0,4,15.18,8.65,165,10,0,60,2,0.203,17.60,1.30E-04,30.17,0.99,17,2171,1.005,0.3,24.7,26.6,,15.1,0.60,0.38,1.32,-37,0.1,97.4,25.2,94.1,,0.38,0.4,,0.38
5,4042011_7,4042011,7,56.99,2.69,3,2.33,1.75,994.1,0.36,-3.10,0.01,25.50,1.51,11.10,0.25,650.12,-0.89,0.00,9.21,0.06,-79.01,0.33,35.970,1.2E-06,-79.093,8.0E-07,382,1,545,16.36,5.04,1.90,1.74,1.75,0.001,2.07,0.32,3.34,300.1,224.7,173.3,21.31,21.98,0.150,4,4,3.0,3.0,4.0,3.5,4,9.33,5.3,145,10,0,60,2,0.583,17.32,3.72E-04,17.36,0.99,15,2017,1.005,0.2,25.0,26.3,,8.7,0.60,0.39,1.18,-35,6.6,56.6,32.7,46.7,,0.42,0.7,,0.40
6,5050611_1,5050611,1,87.76,2.69,3,2.12,1.84,997.1,-0.03,-3.06,-0.01,15.46,1.94,10.38,0.27,239.11,0.33,0.11,-0.47,0.15,-47.22,-0.02,35.970,5.1E-07,-79.093,8.7E-07,388,2,342,11.85,3.44,1.35,1.83,1.84,0.001,2.00,0.16,3.36,290.1,220.4,180.6,23.99,24.18,0.156,4,4,2.0,2.0,3.0,2.5,3,16.84,9.29,185,10,0,60,2,0.280,16.00,1.86E-04,24.66,0.98,19,1495,1.005,0.5,14.4,17.7,,12.3,0.60,0.61,1.19,2,-0.9,87.8,-7.6,87.4,,0.55,0.7,,0.58
7,5050611_2,5050611,2,87.76,2.69,3,2.28,1.84,997.0,-0.01,-3.15,0.00,15.82,1.22,11.63,0.21,250.73,0.43,0.04,-0.08,0.16,-49.48,0.08,35.970,3.7E-07,-79.093,2.1E-07,387,2,341,7.29,4.01,0.79,1.83,1.84,0.001,2.14,0.30,3.33,290.5,225.6,180.2,19.81,19.24,0.138,4,4,3.0,4.0,4.0,3.5,4,13.87,7.89,175,10,0,60,2,0.438,16.38,2.90E-04,25.27,0.99,18,1787,1.005,0.6,14.6,18.3,,12.6,0.60,0.66,1.94,11,-0.4,87.8,7.6,87.4,,0.57,0.3,,0.61
8,5050611_3,5050611,3,98.4,2.69,3,2.05,1.83,996.7,-0.16,-3.00,-0.03,16.20,1.27,11.05,0.17,262.61,0.58,0.07,-2.49,0.20,-48.27,-0.39,35.970,1.0E-06,-79.093,9.6E-07,385,2,317,4.42,2.94,0.45,1.83,1.83,0.001,1.97,0.14,3.21,290.9,210.4,183.0,22.16,22.03,0.127,4,4,3.0,3.0,5.0,4.0,4,15.33,8.73,195,10,0,60,2,0.220,17.95,1.45E-04,31.08,0.96,20,1256,1.005,0.6,15.0,18.3,,15.5,0.60,0.39,1.41,-35,-5.2,98.3,-25.5,95.0,,0.38,0.2,,0.39
9,5050611_4,5050611,4,98.4,2.69,3,2.19,1.83,996.6,0.00,-3.78,0.00,16.06,2.06,16.50,0.31,258.26,0.24,0.13,-0.03,0.34,-60.26,0.07,35.970,4.6E-07,-79.093,4.8E-07,385,2,344,8.39,3.23,0.74,1.83,1.83,0.001,2.00,0.17,4.04,290.7,210.5,180.0,20.51,21.98,0.139,4,4,3.0,3.0,4.0,3.5,4,15.33,8.73,185,10,0,60,2,0.362,12.25,2.39E-04,21.13,0.99,19,1190,1.005,0.6,15.3,19.0,,10.6,0.60,0.81,1.36,35,0.0,98.4,-8.6,98.0,,0.61,2.5,,0.71
10,5050611_5,5050611,5,102.96,2.69,3,2.14,1.82,996.4,0.12,-3.51,0.00,16.56,2.27,15.02,0.25,274.53,0.51,0.12,2.01,0.22,-57.67,0.04,35.970,2.8E-07,-79.093,3.2E-07,384,2,334,5.35,2.96,0.55,1.82,1.82,0.001,1.94,0.12,3.83,291.3,238.2,178.0,25.12,23.98,0.129,4,4,2.0,2.0,5.0,3.5,4,16.06,9.15,155,10,0,60,2,0.314,10.93,2.07E-04,19.70,0.96,16,1240,1.005,0.6,15.6,19.4,,9.9,0.60,0.73,0.97,22,3.6,102.9,43.5,93.3,,0.71,0.0,,0.72
11,5050611_6,5050611,6,102.96,2.69,3,2.02,1.82,996.2,-0.26,-4.09,-0.05,16.38,2.07,18.00,0.22,268.48,0.90,0.18,-4.13,0.27,-66.73,-0.75,35.970,7.0E-07,-79.093,5.2E-07,384,2,313,3.68,2.38,0.27,1.82,1.82,0.001,1.88,0.06,4.33,291.0,213.7,183.6,17.79,19.27,0.108,5,5,4.0,4.0,5.0,4.5,5,12.63,7.53,195,10,0,60,2,0.196,8.42,1.29E-04,15.16,0.98,20,1422,1.005,0.6,15.6,18.8,,7.6,0.60,0.34,0.41,-44,-6.4,102.8,-26.6,99.5,,0.36,1.1,,0.35
12,5050611_7,5050611,7,102.96,2.69,3,2.05,1.82,995.8,0.00,-2.53,0.00,16.62,0.89,7.35,0.16,276.32,-0.04,0.05,-0.04,0.06,-41.89,0.05,35.970,2.6E-07,-79.093,3.7E-07,383,1,348,5.10,3.06,0.47,1.81,1.82,0.001,1.99,0.17,2.68,291.4,222.2,180.0,17.36,19.78,0.151,3,3,4.0,3.0,4.0,4.0,4,16.06,9.15,175,10,0,60,2,0.230,19.59,1.52E-04,35.55,0.97,18,1599,1.006,0.4,15.9,18.5,,17.8,0.60,0.38,1.61,-37,-0.1,103.0,9.0,102.6,,0.36,0.7,,0.37
13,5050611_8,5050611,8,82,2.69,3,2.52,1.82,995.7,-0.02,-2.10,-0.01,16.33,0.61,5.31,0.11,266.64,-0.01,0.04,-0.32,0.12,-34.22,-0.08,35.970,4.4E-07,-79.093,1.3E-06,382,2,337,7.67,4.85,0.82,1.82,1.82,0.001,2.25,0.43,2.23,290.9,221.5,180.5,20.97,21.15,0.150,2,2,3.0,3.0,4.0,3.5,4,12.99,7.39,185,10,0,60,2,0.700,15.68,4.62E-04,22.58,0.97,19,1569,1.005,0.2,16.1,17.2,,11.3,0.60,0.62,1.65,4,-0.8,82.0,-7.1,81.7,,0.63,0.7,,0.62
14,5050611_9,5050611,9,57,2.69,3,2.78,1.81,994.2,-0.35,-2.39,-0.05,17.24,1.53,6.68,0.18,297.16,0.68,0.09,-6.16,0.16,-41.02,-0.80,35.970,3.4E-07,-79.093,4.5E-07,380,2,292,15.88,6.52,2.10,1.81,1.81,0.001,2.23,0.42,2.66,292.0,212.3,188.4,24.00,25.16,0.158,3,3,2.0,2.0,3.0,2.5,3,11.36,6.21,195,10,0,60,2,0.967,12.10,6.35E-04,12.08,0.96,20,869,1.006,0.3,16.7,19.1,,6.0,0.60,0.75,0.78,25,-8.4,56.4,-14.8,55.1,,0.88,1.8,,0.82
15,5050611_10,5050611,10,57,2.69,3,2.68,1.81,993.9,-0.32,-1.53,-0.01,17.69,0.81,2.74,0.09,313.20,0.34,0.00,-5.63,0.04,-27.06,-0.16,35.970,3.8E-07,-79.093,3.1E-07,379,3,266,10.56,5.80,1.19,1.81,1.81,0.001,2.31,0.50,1.77,292.6,242.3,191.7,31.06,27.63,0.170,2,2,1.0,1.0,3.0,2.0,2,13.64,7.17,205,10,0,60,2,0.874,20.93,5.73E-04,21.06,0.96,21,839,1.006,0.5,16.9,19.8,,10.5,0.60,0.62,1.42,4,-11.5,55.8,-24.1,51.7,,0.67,0.9,,0.65
16,6061411_1,6061411,1,81,2.69,2,2.69,1.76,787.0,0.49,-2.94,-0.01,10.21,0.96,9.86,0.12,105.00,-1.61,-0.04,4.85,0.14,-29.78,0.02,42.802,6.4E-07,-109.816,1.5E-06,399,8,403,7.81,4.33,0.84,1.76,1.76,0.002,2.26,0.50,3.10,285.2,298.8,170.6,18.34,17.16,0.113,3,3,4.0,4.0,5.0,4.5,5,10.09,6.02,155,10,0,60,2,0.923,14.12,4.91E-04,20.06,0.97,16,1870,1.007,0.9,8.9,14.7,,10.0,0.60,0.58,1.92,-3,13.3,79.9,34.2,73.4,,0.50,0.0,,0.54
17,6061411_3,6061411,3,97.8,2.69,3,2.01,1.77,786.9,0.00,-4.15,0.00,11.45,1.87,19.67,0.20,131.97,-0.22,-0.08,0.18,0.10,-47.45,0.16,42.802,8.4E-07,-109.816,8.3E-07,399,11,624,3.57,2.58,0.23,1.76,1.77,0.002,1.93,0.16,4.35,286.4,292.7,180.0,17.34,18.17,0.102,5,5,4.0,4.0,6.0,5.0,5,12.05,7.19,165,10,0,60,2,0.247,18.89,1.31E-04,32.55,0.97,17,3068,1.006,0.9,9.8,14.7,,16.3,0.60,0.31,1.90,-48,0.1,97.8,25.3,94.5,,0.31,0.2,,0.31
18,6061411_4,6061411,4,65.4,2.69,3,2.80,1.76,786.8,0.00,-5.33,0.00,12.18,2.03,30.82,0.24,149.19,0.93,-0.07,-0.17,0.11,-64.72,0.18,42.802,1.0E-06,-109.816,2.5E-06,391,5,678,5.48,4.11,0.23,1.76,1.76,0.001,2.30,0.54,5.52,287.0,292.9,180.0,15.25,16.11,0.089,6,6,5.0,4.0,6.0,5.5,6,6.83,4.02,165,10,0,60,2,1.040,13.72,5.50E-04,15.74,1.00,17,3349,1.006,0.9,10.4,15.9,,7.9,0.60,0.52,2.36,-13,0.0,65.4,16.9,63.2,,0.60,1.9,,0.56
19,6061411_5,6061411,5,41,2.69,3,3.05,1.77,786.7,0.00,-6.12,0.00,12.78,4.07,39.20,0.39,164.08,0.13,-0.15,0.01,0.27,-77.80,0.22,42.802,4.6E-07,-109.817,5.2E-07,388,4,624,5.41,4.21,0.25,1.76,1.77,0.003,2.56,0.79,6.44,287.7,287.5,180.0,17.09,17.88,0.097,7,7,4.0,4.0,6.0,5.0,5,5.46,3.29,175,10,0,60,2,1.280,14.61,6.75E-04,10.51,1.00,18,3098,1.006,0.9,10.9,16.0,,5.3,0.60,0.49,1.51,-18,0.0,41.0,3.6,40.8,,0.75,1.6,,0.62
20,6061411_6,6061411,6,92.9,2.69,3,2.23,1.77,786.7,0.00,-7.01,0.00,13.07,2.51,51.13,0.40,171.63,0.11,-0.02,0.03,0.28,-90.94,0.24,42.802,8.3E-07,-109.816,8.4E-07,386,4,635,3.15,2.74,0.11,1.76,1.77,0.001,2.07,0.30,7.18,288.0,293.6,180.0,12.42,12.50,0.088,7,7,5.0,5.0,6.0,5.5,6,9.52,5.55,165,10,0,60,2,0.466,14.63,2.45E-04,23.85,0.99,17,3834,1.006,0.9,11.1,16.4,,11.9,0.60,0.59,3.15,-2,0.0,92.9,24.0,89.7,,0.51,1.8,,0.55
